id,data_venda,cliente,vendedor,produto,categoria,fornecedor,quantidade,valor_venda,valor_custo
70,2023-04-10,Evelyn Barros,PILAR SANCHES,TV LED 60 SONY,TV E AUDIO,SONY,2,3900.0,3051.0
71,2018-11-17,Júlio Carvalho,JOAO NUNES,PLAYSTATION 4,GAMES,SONY,2,1980.0,990.0
72,2021-06-25,Giovana Sousa,RODRIGO BIO,JUICER ARNO,ELETRODOMESTICOS,ARNO,4,450.0,367.0
73,2018-02-19,Luis Dias,SERGIO AGUDO,TV LED 42 SONY,TV E AUDIO,SONY,3,2000.0,1420.0
74,2020-03-26,Tiago Ferreira,RENE CHIARI,DESKTOP A5 HP,INFORMATICA,HP,4,1300.0,700.0
75,2020-07-25,Matheus Barros,GERALDO FRANCISCO,LEITOR DE CARTOES MULTILASER,INFORMATICA,MULTILASER,3,24.0,11.0
76,2018-12-24,Daniel Correia,LILIAN SALINAS,NOTEBOOK ACER 15,INFORMATICA,ACER,4,1500.0,800.0
77,2021-08-10,Paulo Goncalves,RENATA MONTEIRO,JUST DANCE,GAMES,BILLZAR GAMES,1,99.0,34.0
78,2022-07-21,Ryan Barros,EDUARDO SANTOS,TITANS,GAMES,BRAZUCA JOGOS,5,98.0,50.0
79,2022-06-16,Evelyn Souza,RENE CHIARI,LIQUIDIFICADOR WALLITA,ELETRODOMESTICOS,WALLITA,1,90.0,75.0
80,2022-08-23,Otávio Pereira,SILVIO BAHIANA,RIO DE JANEIRO / NEW YORK,PASSAGENS,AMERICA LINES EXPRESS,1,2600.0,2354.0
81,2020-03-13,Antônio Melo,CELIA TAVARES,NOTEBOOK LN 15,INFORMATICA,LENOVO,5,1500.0,800.0
82,2019-12-14,Bianca Ribeiro,RODRIGO BIO,ROTEADOR WIRELESS,INFORMATICA,MULTILASER,1,90.0,38.0
83,2019-06-21,Luiz Fernandes,DEBORA ALMEIDA,HOME THEATER PANASONIC,TV E AUDIO,PANASONIC,2,245.0,150.0
84,2022-12-01,Carolina Cardoso,RODRIGO MARQUES,PHONE 5,CELULARES,APPLE,3,2500.0,1900.0
85,2022-04-12,Bruno Melo,MARCELO WITEMBERG,CARREGADOR TURBO CELULAR,CELULARES,MOTOROLA,3,99.0,55.0
86,2018-03-10,Kauã Cardoso,FABIO AUGUSTO,SMART TV PANASONIC 46,TV E AUDIO,PANASONIC,4,3099.0,2500.0
87,2021-04-12,Luiz Costa,LILIAN SALINAS,MOCHILA NOTEBOOK 14 POL,INFORMATICA,GENIUS,2,89.0,61.0
88,2021-10-27,Felipe Martins,RODRIGO MARQUES,NOTEBOOK LN 15,INFORMATICA,LENOVO,3,1500.0,800.0
89,2023-11-14,Emilly Souza,MARCELO WITEMBERG,CARTOON MOVIE,GAMES,BILLZAR GAMES,2,99.0,34.0
90,2018-06-25,Gabriel Gomes,CARLOS SENRA,DREAMC QUARTY,CELULARES,DREAMC,1,180.0,98.0
91,2021-11-10,Lavinia Rodrigues,SILVIO BAHIANA,PENDRIVE 128 CROSSAIR,INFORMATICA,PHILIPS,1,137.0,98.0
92,2023-04-03,Caio Correia,RENE CHIARI,ROTEADOR WIRELESS,INFORMATICA,MULTILASER,2,90.0,38.0
93,2019-11-10,Rebeca Ferreira,CLARA MAFRA,DESKTOP P5 ML,INFORMATICA,MULTILASER,3,1400.0,950.0
94,2020-01-24,André Alves,PEDRO NUNES,RACK TV MOGNO,MOVEIS,BRASIL MADEIRAS,3,1500.0,1087.0
95,2018-08-04,Beatriz Fernandes,RAFAELA LIMA,LAVA LOUCAS CCE,ELETRODOMESTICOS,CCE,2,3600.0,2745.0
96,2021-09-26,Vitor Correia,PEDRO NUNES,FAMILIA PARATTO,DVDS,EM SPORTS,3,134.0,100.0
97,2021-08-22,Luiz Martins,RENATA MONTEIRO,PLAYSTATION 3,GAMES,SONY,3,980.0,590.0
98,2021-07-05,Vitoria Carvalho,MARCELO WITEMBERG,HD 2T SAMSUNG,INFORMATICA,SAMSUNG,2,550.0,200.0
99,2021-09-27,Renan Oliveira,RENE CHIARI,LAVA LOUCAS BRASTEMP,ELETRODOMESTICOS,BRASTEMP,2,3500.0,2945.0
100,2021-04-01,Miguel Ferreira,RENATA MONTEIRO,NOKIA QUARTY,CELULARES,NOKIA,1,300.0,190.0
101,2019-12-04,Luís Araujo,PEDRO NUNES,O SENHOR DO CRIME,LIVROS,EDITORA AMAZONIA,4,199.0,120.0
102,2022-03-10,Vitoria Melo,MARCELO WITEMBERG,SAMSUNG XY 3,CELULARES,SAMSUNG,1,800.0,498.0
103,2021-12-20,Guilherme Almeida,RAFAELA LIMA,MOTO Z PLAY 3,CELULARES,MOTOROLA,2,1150.0,900.0
104,2018-04-11,Douglas Barros,GERALDO FRANCISCO,DESKTOP A5 HP,INFORMATICA,HP,2,1300.0,890.0
105,2022-11-24,Evelyn Souza,JOAO NUNES,RIO DE JANEIRO / MADRID,PASSAGENS,LINHAS INTERNACIONAIS EURO,1,1800.0,1623.0
106,2023-06-12,Victor Rodrigues,DAVID BORGES,CARTAO SD 128 GB SANDISK,INFORMATICA,SANDISK,1,156.0,99.0
107,2019-10-01,Gustavo Goncalves,SILVIO BAHIANA,SMART TV PANASONIC 52,TV E AUDIO,PANASONIC,2,4200.0,3800.0
108,2019-09-23,Eduardo Cunha,RAFAELA LIMA,PLAYSTATION 3,GAMES,SONY,1,980.0,590.0
109,2022-02-15,Kaua Fernandes,CARLOS SENRA,SAO PAULO / LONDRINA,PASSAGENS,LINHAS BRASIL EXPRESS,3,310.0,280.0
110,2021-07-24,Matheus Ferreira,MARCELO WITEMBERG,PENDRIVE 64,INFORMATICA,PHILIPS,1,80.0,45.0
111,2019-02-10,Luís Barros,JOAO NUNES,JUICER CCE,ELETRODOMESTICOS,CCE,1,430.0,347.0
112,2020-04-23,Isabela Azevedo,WALLACE MOREIRA,MOCHILA NOTEBOOK 17 POL,INFORMATICA,GENIUS,2,139.0,91.0
113,2019-09-06,Arthur Cavalcanti,JOAO NUNES,MICROONDAS BRASTEMP,ELETRODOMESTICOS,BRASTEMP,4,600.0,412.0
114,2022-07-23,Kaua Sousa,PEDRO NUNES,FANTASY STAR,GAMES,JOGAR GAMES,2,89.0,30.0
115,2021-03-24,Letícia Barbosa,EDUARDO SANTOS,LAVADORA GANCA 10L,ELETRODOMESTICOS,GANCA,3,5400.0,5020.0
116,2021-10-12,Rafael Fernandes,CARLOS SENRA,IPAD 64,INFORMATICA,APPLE,2,2500.0,1700.0
117,2022-09-22,Gabrielle Almeida,SILVIO BAHIANA,CARTAO SD 128 GB SANDISK,INFORMATICA,SANDISK,3,156.0,99.0
118,2023-05-25,Gabriela Cunha,GERALDO FRANCISCO,TV 3D PHILIPS 42,TV E AUDIO,SONY,3,3800.0,3201.0
119,2019-09-07,Antônio Melo,MARCELO WITEMBERG,RIO DE JANEIRO / CAMPINAS,PASSAGENS,LINHAS LATINAS DE AVIÃ•ES,2,250.0,210.0
120,2021-08-21,Raissa Costa,JOAO NUNES,GRAVITACIONAL,DVDS,STUDIOS CALIFORNIA,3,78.0,37.0
121,2018-05-15,Beatriz Correia,EDUARDO SANTOS,AS CRÔNICAS DE ANDROMEDA,LIVROS,EDITORA MUNDO FANTASIA,1,69.0,30.0
122,2019-09-03,Beatrice Dias,MARCELO WITEMBERG,LIQUIDIFICADOR ARNO,ELETRODOMESTICOS,WALLITA,2,87.0,72.0
123,2019-02-04,Luiza Oliveira,CLARA MAFRA,NOTEBOOK HP INOVE,INFORMATICA,HP,3,3300.0,2700.0
124,2022-02-04,Julieta Rodrigues,RENE CHIARI,CONJUNTO DE SOFA,MOVEIS,BRASIL MADEIRAS,3,3500.0,2954.0
125,2023-02-21,Arthur Martins,TERESA CRISTINA,DESKTOP A5 HP,INFORMATICA,HP,2,1300.0,890.0
126,2021-12-20,Tomás Almeida,CARLOS SENRA,CARTAO SD 32 GB SANDISK,INFORMATICA,SANDISK,1,32.0,15.0
127,2018-07-11,Arthur Santos,RENATA MONTEIRO,NOKIA 549,CELULARES,NOKIA,2,450.0,300.0
128,2020-03-09,Samuel Araujo,SERGIO AGUDO,MEMORIA DDR 3 32GB,INFORMATICA,VISION,4,350.0,203.0
129,2023-07-02,Miguel Ribeiro,CLARA MAFRA,NOTEBOOK HP C-34,INFORMATICA,HP,1,2300.0,1890.0
130,2020-05-20,Alice Ribeiro,PILAR SANCHES,JOGOS VORAZES,LIVROS,EDITORA LELIVROS,4,45.0,22.0
131,2021-11-05,Luís Araujo,RAFAELA LIMA,GLADIADORES,DVDS,EM SPORTS,4,145.0,90.0
132,2019-09-23,Kauê Souza,EDUARDO SANTOS,SAO PAULO / BUENOS AIRES,PASSAGENS,LINHAS LATINAS DE AVIÃ•ES,4,1090.0,1000.0
133,2019-06-17,Leonor Cunha,PILAR SANCHES,LAVA LOUCAS BRASTEMP,ELETRODOMESTICOS,BRASTEMP,2,3500.0,2945.0
134,2021-11-03,Matilde Barbosa,TERESA CRISTINA,MEMORIA DDR 3 4GB,INFORMATICA,VISION,1,80.0,45.0
135,2022-03-25,Victor Souza,SILVIO BAHIANA,RIO DE JANEIRO / LONDRINA,PASSAGENS,LINHAS LATINAS DE AVIÃ•ES,5,430.0,390.0
136,2022-11-27,Lavinia Cavalcanti,RODRIGO BIO,GALAXY NOTE,INFORMATICA,SAMSUNG,2,2900.0,1542.0
137,2021-10-11,Bruna Cavalcanti,ANTONIO JESUS,DESKTOP P5 ML,INFORMATICA,MULTILASER,4,1400.0,950.0
138,2018-09-03,Tiago Melo,SILVIO BAHIANA,CENTRIFUGA ARNO,ELETRODOMESTICOS,ARNO,2,2800.0,2030.0
139,2020-06-06,Tânia Pinto,ANTONIO JESUS,SAO PAULO / MADRID,PASSAGENS,LINHAS INTERNACIONAIS EURO,3,2700.0,2350.0
140,2018-10-15,Melissa Azevedo,LILIAN SALINAS,A CULPA É DAS ESTRELAS,LIVROS,EDITORA LELIVROS,2,24.0,12.0
141,2022-09-07,Sophia Correia,ANTONIO JESUS,O SUPER-HERÓI,DVDS,STUDIOS HB,4,45.0,20.0
142,2022-05-19,Fernanda Pinto,CLARA MAFRA,DESKTOP A5 HP,INFORMATICA,HP,3,1300.0,890.0
143,2023-09-15,Amanda Ferreira,LILIAN SALINAS,HD 3T,INFORMATICA,MULTILASER,2,760.0,390.0
144,2018-03-26,Bruna Castro,MARCELO WITEMBERG,MAFIA,GAMES,BRAZUCA JOGOS,2,120.0,55.0
145,2022-12-24,Luiza Rocha,RENATA MONTEIRO,TV LED 32 LG,TV E AUDIO,LG,2,1100.0,850.0
146,2019-01-03,Amanda Cavalcanti,SERGIO AGUDO,JUICER WALLITA,ELETRODOMESTICOS,WALLITA,3,450.0,367.0
147,2021-08-15,Kauã Rodrigues,SILVIO BAHIANA,UM CASO PERDIDO,LIVROS,EDITORA LELIVROS,4,56.0,20.0
148,2021-09-01,Júlia Fernandes,RODRIGO BIO,TV LED 32 SONY,TV E AUDIO,SONY,3,1000.0,750.0
149,2020-08-08,Lucas Gomes,RENE CHIARI,FREEZER 300L BRASTEMP,ELETRODOMESTICOS,BRASTEMP,3,1800.0,986.0
150,2018-05-18,Rebeca Carvalho,JOAO NUNES,PENDRIVE 128 CROSSAIR,INFORMATICA,PHILIPS,4,137.0,98.0
151,2021-03-01,Beatrice Alves,HERMES MACEDO,MESA DE CENTRO,MOVEIS,MOVEIS VAREJÃƒO,4,500.0,350.0
152,2023-12-27,Arthur Lima,PILAR SANCHES,NOTEBOOK MSFT 17,INFORMATICA,MICROSOFT,4,3100.0,2700.0
153,2019-11-11,Matilde Barbosa,RENE CHIARI,IPOD NANO 32,INFORMATICA,APPLE,5,450.0,320.0
154,2022-09-07,Tomás Melo,RENATA MONTEIRO,CARREGADOR TURBO CELULAR,CELULARES,MOTOROLA,2,99.0,55.0
155,2023-02-12,Martim Barbosa,PEDRO NUNES,SAO PAULO / CURITIBA,PASSAGENS,LINHAS BRASIL EXPRESS,4,300.0,260.0
156,2020-03-05,Luan Oliveira,MARCELO WITEMBERG,JACKSON,DVDS,STUDIOS HB,4,34.0,18.0
157,2023-05-16,Bianca Cunha,RENE CHIARI,TV LED 60 SONY,TV E AUDIO,SONY,1,3900.0,3051.0
158,2023-11-10,José Carvalho,PEDRO NUNES,LEITOR DE CARTOES,INFORMATICA,VISION,2,34.0,10.0
159,2023-06-23,Rodrigo Barbosa,PILAR SANCHES,XTG RAD D1,CELULARES,GFORCE,3,800.0,567.0
160,2021-03-07,Isabela Goncalves,CLARA MAFRA,SONY I7,INFORMATICA,SONY,5,2500.0,1300.0
161,2018-09-18,Beatriz Sousa,RODRIGO BIO,NOKIA ASHA 501,CELULARES,NOKIA,4,600.0,320.0
162,2019-11-23,Ana Alves,DEBORA ALMEIDA,MESA JANTAR 6 LUGARES,MOVEIS,BRASIL MADEIRAS,1,2500.0,1900.0
163,2018-11-24,Júlia Azevedo,DEBORA ALMEIDA,IPAD 64,INFORMATICA,APPLE,4,2500.0,1700.0
164,2022-01-12,Antônio Goncalves,DEBORA ALMEIDA,TV LED 42 SONY,TV E AUDIO,SONY,5,2000.0,1420.0
165,2021-10-24,Estevan Lima,MARCELO WITEMBERG,HD 2T,INFORMATICA,MULTILASER,3,650.0,300.0
166,2019-04-11,Isabelle Barbosa,SERGIO AGUDO,CASOAS ANTIGOS,DVDS,EM SPORTS,3,37.0,20.0
167,2021-03-19,Leonardo Rodrigues,CELIA TAVARES,IPAD MINI 16,INFORMATICA,APPLE,2,1200.0,790.0
168,2020-08-10,Vinícius Oliveira,TERESA CRISTINA,FABULA,GAMES,BRAZUCA JOGOS,2,120.0,100.0
169,2018-02-14,Livia Santos,SERGIO AGUDO,DESKTOP A5 ML,INFORMATICA,MULTILASER,4,1300.0,890.0
170,2023-11-07,Mariana Almeida,FABIO AUGUSTO,GALAXY TAB 10,INFORMATICA,SAMSUNG,5,2300.0,750.0
171,2023-07-11,Rafael Fernandes,DEBORA ALMEIDA,PLAYSTATION 4,GAMES,SONY,2,1980.0,990.0
172,2020-10-01,Emily Rodrigues,SILVIO BAHIANA,SMART TV PANASONIC 46,TV E AUDIO,PANASONIC,2,3099.0,2500.0
173,2018-02-09,Isabelle Cunha,MARCELO WITEMBERG,COMBO TECLADO E MOUSE,INFORMATICA,MICROSOFT,3,310.0,120.0
174,2020-08-24,Kauan Sousa,EDUARDO SANTOS,HD 3T SAMSUNG,INFORMATICA,SAMSUNG,4,700.0,300.0
175,2022-03-03,Martim Barros,LILIAN SALINAS,COMBO TECLADO E MOUSE,INFORMATICA,MICROSOFT,3,310.0,120.0
176,2018-07-17,Julian Castro,MARCELO WITEMBERG,SMART TV PHILIPS 46,TV E AUDIO,PHILIPS,1,3199.0,2500.0
177,2020-10-20,Daniel Correia,PEDRO NUNES,JOGOS MALÉFICOS,DVDS,STUDIOS CALIFORNIA,4,38.0,23.0
178,2023-02-18,Amanda Cavalcanti,ANTONIO JESUS,MENTES CRIMINOSAS,DVDS,STUDIOS CALIFORNIA,2,210.0,130.0
179,2022-05-09,Tânia Pinto,RODRIGO BIO,RIO DE JANEIRO / NEW YORK,PASSAGENS,AMERICA LINES EXPRESS,4,2600.0,2354.0
180,2020-11-22,Kauã Cardoso,RENATA MONTEIRO,FREEZER 300L BRASTEMP,ELETRODOMESTICOS,BRASTEMP,2,1800.0,986.0
181,2019-11-20,Douglas Cavalcanti,RAFAELA LIMA,MP4 32 GB SONY,INFORMATICA,SONY,4,240.0,120.0
182,2020-01-06,Luiz Costa,RODRIGO BIO,PENDRIVE 16,INFORMATICA,PHILIPS,3,30.0,10.0
183,2023-04-03,Enzo Dias,CARLOS SENRA,TV 3D SONY 42,TV E AUDIO,SONY,4,3100.0,2684.0
184,2023-04-07,Nicolash Cunha,RENE CHIARI,PC DUAL CORE,INFORMATICA,PHILIPS,4,1350.0,890.0
185,2022-07-24,Rafael Barbosa,FABIO AUGUSTO,DESKTOP A5 HP,INFORMATICA,HP,1,1300.0,700.0
186,2023-07-02,Martim Correia,SERGIO AGUDO,ROTEADOR 18 PORTAS,INFORMATICA,MULTILASER,2,300.0,110.0
187,2023-09-23,Tânia Santos,SERGIO AGUDO,SAMSUNG XY 4,CELULARES,SAMSUNG,5,1200.0,965.0
188,2021-01-15,Daniel Correia,CARLOS SENRA,RIO DE JANEIRO / LONDRINA,PASSAGENS,LINHAS LATINAS DE AVIÃ•ES,3,430.0,390.0
189,2018-08-13,Breno Correia,PEDRO NUNES,TV LED 50 LG,TV E AUDIO,LG,4,3100.0,2900.0
190,2020-02-17,Carlos Rodrigues,LILIAN SALINAS,MICROONDAS BRASTEMP,ELETRODOMESTICOS,BRASTEMP,5,600.0,412.0
191,2019-03-14,Fernanda Pinto,TERESA CRISTINA,SAMSUNG E1203,CELULARES,SAMSUNG,2,560.0,385.0
192,2018-10-09,Murilo Sousa,RODRIGO MARQUES,NOTEBOOK SONY AWS,INFORMATICA,SONY,1,2750.0,2400.0
193,2023-01-21,Nicolash Goncalves,RAFAELA LIMA,HUB SWITCH 6 PORTAS,INFORMATICA,ACER,3,79.0,60.0
194,2021-08-02,Sophia Sousa,RENATA MONTEIRO,SOUTH PLACE,GAMES,JOGAR GAMES,1,98.0,45.0
195,2018-04-17,Júlio Pinto,ANTONIO JESUS,DESKTOP 17,INFORMATICA,ACER,3,2300.0,1800.0
196,2020-12-11,Julian Azevedo,LILIAN SALINAS,HD 2T,INFORMATICA,MULTILASER,3,650.0,300.0
197,2018-05-24,Julia Almeida,TERESA CRISTINA,TV LED 42 CCE,TV E AUDIO,CCE,2,1600.0,800.0
198,2023-01-11,Beatriz Carvalho,RAFAELA LIMA,CARTAO SD 32 GB SANDISK,INFORMATICA,SANDISK,4,32.0,15.0
199,2023-11-18,Manuela Melo,WALLACE MOREIRA,DEVILCRY,GAMES,BRAZUCA JOGOS,5,120.0,65.0
200,2022-05-06,Kaua Castro,DAVID BORGES,MAFIA,GAMES,BRAZUCA JOGOS,2,120.0,55.0
13272,2022-09-13,Pedro Melo,JOAO NUNES,PLAYSTATION 4,GAMES,SONY,1,1980.0,990.0
201,2020-08-09,Manuela Melo,RAFAELA LIMA,LAVA LOUCAS CCE,ELETRODOMESTICOS,CCE,2,3600.0,2745.0
